tenant_id;empresa_id;item_id;codigo;item;saldo_atual;sugestao_ajuste_para_zero;ent_total;sai_total;ajuste_total;ent_os_nf;sai_os_sem_origem;sai_com_origem;qtd_os_refs;flag_dupla_saida_prob
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;806;3RV19151CB;BARRA INTERL.P4 DISJ.S00 S0 ESPAÇ.45MM;-16;16;16;32;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;820;3RH29112FA40;BLOCO CONT.AUX.FRONTAL 4NA S00-S3 MOLA;-16;16;16;32;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;779;3RT20152BB41;CONTATOR AC3:7A 1NA 24VCC;-16;16;16;32;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;780;3RV29275AA00;PLUG POTENCIA S0 P INFEED SYSTEM MOLA;-16;16;16;32;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;212;5SL12107MB;DISJ 2P C 10A 5SL1 210-7MB;-15;15;41;56;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;800;LZS:PT5A5L24;RELE INTERFACE PLUG-IN LZS:PT5A5L24;-15;15;25;40;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1466;BQCTA40-1X5MB;CORRENTE SIMPLES ASA40-1  - PEDIDO 2025/116598 -;-15;15;15;90;60;15;30;60;1;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;741;3RT20151BB41;CONTATOR AC3:7A 1NA 24VCC PARAFUSO;-15;15;15;30;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;873;GA50U4002ABA;CONVERSOR FREQ TRIF GA500, 400V, 2,1/1,8A, IP20;-15;15;17;32;0;0;0;0;0;false
3ced7cfa-efbb-4f0f-addc-2028f60d1ca7;f0e74f49-a127-46b4-901b-f7b37e43c690;1138;54034087583;CABO EPR 1KV-FLEX 90G   10,00MM VM                       CORFIO;-15;15;15;30;0;0;0;0;0;false
